sample_name,fq1,fq2
I15546-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15546-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15546-L1_R2.fastq.gz
I15547-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15547-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15547-L1_R2.fastq.gz
I15548-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15548-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15548-L1_R2.fastq.gz
I15549-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15549-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15549-L1_R2.fastq.gz
I15550-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15550-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15550-L1_R2.fastq.gz
I15551-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15551-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15551-L2_R2.fastq.gz
I15552-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15552-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15552-L2_R2.fastq.gz
I15553-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15553-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15553-L2_R2.fastq.gz
I15554-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15554-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15554-L1_R2.fastq.gz
I15555-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15555-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15555-L1_R2.fastq.gz
I15556-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15556-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15556-L2_R2.fastq.gz
I15557-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15557-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15557-L2_R2.fastq.gz
I15558-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15558-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15558-L2_R2.fastq.gz
I15559-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15559-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15559-L2_R2.fastq.gz
I15560-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15560-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15560-L2_R2.fastq.gz
I15561-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15561-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15561-L1_R2.fastq.gz
I15562-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15562-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15562-L1_R2.fastq.gz
I15563-L2,/projects/pig-muenster/Metagenome_Kiel/fastq/I15563-L2_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15563-L2_R2.fastq.gz
I15564-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15564-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15564-L1_R2.fastq.gz
I15565-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15565-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15565-L1_R2.fastq.gz
I15566-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15566-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15566-L1_R2.fastq.gz
I15567-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15567-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15567-L1_R2.fastq.gz
I15568-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15568-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15568-L1_R2.fastq.gz
I15569-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15569-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15569-L1_R2.fastq.gz
I15570-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15570-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15570-L1_R2.fastq.gz
I15571-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15571-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15571-L1_R2.fastq.gz
I15572-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15572-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15572-L1_R2.fastq.gz
I15573-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15573-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15573-L1_R2.fastq.gz
I15574-L1,/projects/pig-muenster/Metagenome_Kiel/fastq/I15574-L1_R1.fastq.gz,/projects/pig-muenster/Metagenome_Kiel/fastq/I15574-L1_R2.fastq.gz
